Codigo_Ritual,Nome_Ritual,Link_Imagem,Link_Imagem2,Link_Imagem3,Link_Imagem4
54,Mergulho Mental,https://www.dropbox.com/scl/fi/vrndspqz58vn42pwf3kzm/Mergulho-Mental.png?rlkey=abjaqo873jmyqcx334anrr7c0&st=2jy87kgl&dl=0,,,
55,Miasma Entrópico,https://www.dropbox.com/scl/fi/ja1z7ysuowi829bxt6cwt/Miasma-Entr-pico.png?rlkey=4vojahiyewen94iyre9uzk4sh&st=gpgzvogz&dl=0,,,
56,Nuvem de Cinzas,https://www.dropbox.com/scl/fi/uyjueok07s3u3vxgtjsul/Nuvem-de-Cinzas.png?rlkey=vfv85ko2pyrmmmh9pi3szu1p0&st=v4upm0ye&dl=0,,,
57,Ódio Incontrolável,https://www.dropbox.com/scl/fi/vhdqgyybk7z8mlvt99d61/dio-Incontrol-vel.png?rlkey=tuvcq4opjxt39bi4vzsdkg2b0&st=hx79vh3q&dl=0,,,
58,Ouvir os Sussurros,https://www.dropbox.com/scl/fi/vw5b1ejnhwf3aubl1grnq/Ouvir-os-Surrurros.png?rlkey=1bnxu0pj1ft68ciduky6krqp4&st=1tmq995t&dl=0,,,
59,Paradoxo,https://www.dropbox.com/scl/fi/t3so7krycjkbw5bb58511/Paradoxo.png?rlkey=itvkn6lve2a5cm2jy4exz6ei5&st=7t2izvrf&dl=0,,,
60,Perturbação,,,,
61,Poeira da Podridão,,,,
62,Polarização Caótica,https://www.dropbox.com/scl/fi/s5yhxc55d1x52o1ixxtt5/Polariza-o-Ca-tica.png?rlkey=v1tqaseaxle7s4qm88979mvn0&st=ntdx8es4&dl=0,,,
63,Possessão,https://www.dropbox.com/scl/fi/c33k3r72isabuypbv8y0k/Possess-o.png?rlkey=r0ig5o0gdyp6dgygrvcg0vc9h&st=52ffjepd&dl=0,,,
64,Presença do Medo,,,,
65,Proteção contra Rituais,,,,
66,Purgatório,,,,
67,Rejeitar Névoa,https://www.dropbox.com/scl/fi/r7l190avcsazu6mnoid2j/Rejeitar-N-voa.png?rlkey=n59r9oran17h8xta6hqmos6bq&st=4snd3bv8&dl=0,,,
68,Salto Fantasma,https://www.dropbox.com/scl/fi/2ctrbjayj5nf7k6ff3175/Salto-Fantasma.png?rlkey=4x6mmtzvx1ddo799e7max11uq&st=phytrufk&dl=0,,,
69,Sopro do Caos,https://www.dropbox.com/scl/fi/8juyscleb995jjafgthgf/Sopro-do-Caos.png?rlkey=uoanfktbekyv0do5lrztvx1lv&st=xzs1j61c&dl=0,,,
70,Tecer Ilusão,,,,
71,Tela de Ruído,https://www.dropbox.com/scl/fi/62nqm3pbl5qukvn9y2ljz/Tela-de-Ru-do.png?rlkey=tax4psjv5u3oibpmtgjrfdai7&st=rwwswqif&dl=0,,,
72,Teletransporte,https://www.dropbox.com/scl/fi/lpx7hh9x7sj730e1iegwx/Teletransporte.png?rlkey=zriny8jx2lmuquczlwtpw1nts&st=5gpw4ot2&dl=0,,,
73,Tentáculos de Lodo,,,,
74,Terceiro Olho,https://www.dropbox.com/scl/fi/aha2q6yhppgyv07h9f707/Terceiro-Olho.png?rlkey=59jo9zse3698ptmnucx6it2z4&st=4nmatznr&dl=0,,,
75,Transfigurar Água,https://www.dropbox.com/scl/fi/0htawhryqzn6412mkisrr/Transfigurar-gua.png?rlkey=zlttrdq3f90zl70uu0y772myp&st=3vzhluhi&dl=0,,,
76,Transfigurar Terra,,,,
77,Transfusão Vital,https://www.dropbox.com/scl/fi/uuh680ubqqwlt1fq8qkfc/Transfus-o-Vital.png?rlkey=om3r8llhiqd2z5ryk4y8gf8o7&st=2by8s3k2&dl=0,,,
78,Velocidade Mortal,https://www.dropbox.com/scl/fi/unc8kmir4zgfqjq94rk0u/Velocidade-Mortal.png?rlkey=qdw792o7hqdevm5wm65b1lgc0&st=3jtxk175&dl=0,,,
79,Vidência,,,,
80,Vínculo de Sangue,https://www.dropbox.com/scl/fi/y74g1eeqaqorvmcxvt6cl/V-nculo-de-Sangue-1.png?rlkey=7l515m95mutm8lxb9osqr8v55&st=q1hvzh96&dl=0,https://www.dropbox.com/scl/fi/kmnk286x846dgniakr2o7/V-nculo-de-Sangue-2.png?rlkey=mfc718w3w7uvujmgz7394an9h&st=aw2qbdoa&dl=0,,
81,Vomitar Pestes,https://www.dropbox.com/scl/fi/e3p6bxr2mnn4r94nmsk13/Vomitar-Pestes.png?rlkey=lkfssnqh2cc5upisk60l775h1&st=p2t87qkd&dl=0,,,
82,Zerar Entropia,https://www.dropbox.com/scl/fi/yd8wk904dunh7g4i8r85q/Zerar-Entropia.png?rlkey=6ek8i284857xwsd4lx0vcdyiz&st=1scte235&dl=0,,,
83,Esfolar,https://www.dropbox.com/scl/fi/895kd0z66b4vn5qccu8mp/Esfolar.png?rlkey=ekds29pc9qta4h0hu9m85v7as&st=ns2l8o84&dl=0,,,
84,Sede de Adrenalina,https://www.dropbox.com/scl/fi/80dl8uasisubc3f1wzfa4/Sede-de-Adrenalina.png?rlkey=weitzwuoewo43rbr0l1rwqple&st=3i7t0akd&dl=0,,,
85,Odor da Caçada,https://www.dropbox.com/scl/fi/rw9225unjnslf7yyiyxf3/Odor-da-Ca-ada.png?rlkey=21guizwevcilnpq00zx5q796n&st=a4vwpego&dl=0,,,
86,Martírio de Sangue,https://www.dropbox.com/scl/fi/r4mr52mw13ifpuljup6bb/Mart-rio-de-Sangue.png?rlkey=bg9dcynkk3o1r09ozbqx58m3h&st=lbxh4tb3&dl=0,,,
87,Apagar as Luzes,https://www.dropbox.com/scl/fi/lxj89rlq8gay8bd6bqzuq/Apagar-as-Luzes.png?rlkey=frsc1v7nh5tej9vimtmdk7bow&st=eqp75qdn&dl=0,,,
88,Língua Morta,https://www.dropbox.com/scl/fi/s6twck9bund9zcqqqslqf/L-ngua-Morta.png?rlkey=ucuz420ffcc9vihue36ofz0mj&st=07h2iqyz&dl=0,,,
89,Fedor Pútrido,https://www.dropbox.com/scl/fi/zn0tow6pxi8d1c94hexr3/Fedor-P-trido.png?rlkey=n17x2xd7796fsqck0k93ftgbo&st=xqrbohyc&dl=0,,,
90,Singularidade Temporal,https://www.dropbox.com/scl/fi/aserwzut84tfxdfgpm8bn/Singularidade-Temporal.png?rlkey=s451oy700cfqtfe9209jolojz&st=br05kkd1&dl=0,,,
91,Desfazer Sinapses,https://www.dropbox.com/scl/fi/dd2qdcq3waiti1subtqw8/Desfazer-Sinapses.png?rlkey=0ra0pi0n0a7slnc7uttvfxy2a&st=xky2dxj0&dl=0,,,
92,Aurora da Verdade,https://www.dropbox.com/scl/fi/9c2mbaj6ecvym069yw74w/Aurora-da-Verdade.png?rlkey=t88bkyg2cxzongo13tnryw6ah&st=4oqhtyra&dl=0,,,
93,Relembrar Fragmento,https://www.dropbox.com/scl/fi/p9ys2sc7czkfvpf3aiknp/Relembrar-Fragmento.png?rlkey=4t7t9y5eu4pgldw3x6fx2wr2f&st=bvsq9nn5&dl=0,,,
94,Pronunciar Sigilo,https://www.dropbox.com/scl/fi/omcyimqxhpjx26et6q9lm/Pronunciar-Sigilo.png?rlkey=k4k3xzyg54hnresegud72wcce&st=uwpasvol&dl=0,,,
95,Overclock,https://www.dropbox.com/scl/fi/0sfzskro08z0gl29wwp9c/Overclock.png?rlkey=oe8bmzrb0yvt1cr09hxgr8fif&st=p7bd42wc&dl=0,,,
96,Tremeluzir,https://www.dropbox.com/scl/fi/k1wyf39np3qk442po8io7/Tremeluzir.png?rlkey=wwpxbzh6u7hgfl3on4an3ber4&st=71h0oxzr&dl=0,,,
97,Mutar,https://www.dropbox.com/scl/fi/zxy985yoj5lr2amnu6m95/Mutar.png?rlkey=m40inxsq5c984u3w4kqxk2szj&st=o86ma1t0&dl=0,,,
98,Milagre Ionizante,https://www.dropbox.com/scl/fi/l2811xvow1ublknwfp3ay/Milagre-Ionizante.png?rlkey=ong419gqkng9p32ty7xlk69b1&st=nynyi9pj&dl=0,,,
99,Passagem de Conhecimento,https://www.dropbox.com/scl/fi/lmbsje0g2zgwiri45fumn/Passagem-de-Conhecimento.png?rlkey=lza1uqz482b3313jvap00hrrc&st=6j6lpvm3&dl=0,,,
100,Passagem de Conhecimento Expandida,https://www.dropbox.com/scl/fi/49y75utw6ak27jhjo5wwy/Passagem-de-Conhecimento-Expandido.png?rlkey=wbr8fmmuibhi9obupga4jagux&st=2pi7sii9&dl=0,,,
101,Mapa Sanguíneo,,,,
102,Capturar Momento,,,,
103,Hesitação Forçada,https://www.dropbox.com/scl/fi/ydo3ijvcl3ptypfyh4km4/Hesita-o-For-ada.png?rlkey=kkp4w3xl09srl780u6jsee4j1&st=40tx7a4q&dl=0,,,
104,Labirinto Mental,,,,
105,Backup,https://www.dropbox.com/scl/fi/cbm2a48sgp9ixqwxd5j20/Backup.png?rlkey=jm64tzu9ilfscf740qziok00g&st=y5r02bf9&dl=0,,,
106,Rajada Caótica,,,,
107,Invocar Arma,,,,
108,Jack of All Trades,,,,
109,Clone de Sangue,,,,
110,Cicatrização Desenfreada,,,,
111,Constringir Musculatura,,,,
112,Explodir Sangue,,,,
113,Ódio em Massa,,,,
114,Criar Ferrugem,,,,
115,Roubar Potencial,,,,
116,Controlar as Sombras,,,,
117,Replicar Gesticulação Proibida,,,,
118,Sussurros Ensurdecedores,,,,
119,Chuva Ácida,,,,
120,Guerreiros Fantasma,,,,
121,Apostar Saúde,,,,
122,Ampliação Sonora,,,,
123,Vampirismo,https://www.dropbox.com/scl/fi/7p7jc23cahczgi6zr0dzl/Vampirismo.png?rlkey=a2xd8gtqpmvkq2t48z4oskgte&st=hun1j3sq&dl=0,,,
